,revision_id,article_quality,article_name,country,Data
374,787410566,Start,Abed Bwanika,Uganda,"40,141,000"
375,787858057,C,Aggrey Awori,Uganda,"40,141,000"
376,787858062,Stub,Aggrey Bagiire,Uganda,"40,141,000"
377,787870163,Start,Agnes Akiror,Uganda,"40,141,000"
378,788019797,Start,Namirembe Bitamazire,Uganda,"40,141,000"
379,788899061,Stub,Amon Bazira,Uganda,"40,141,000"
380,788972378,Stub,Christopher Iga,Uganda,"40,141,000"
381,788972461,Start,Nasser Sebaggala,Uganda,"40,141,000"
382,788972566,Start,Erias Lukwago,Uganda,"40,141,000"
383,788972642,Start,Template:KampalaMayors,Uganda,"40,141,000"
384,789747515,Start,Beatrice Wabudeya,Uganda,"40,141,000"
385,789747629,C,Jane Aceng,Uganda,"40,141,000"
386,789747664,Stub,Ruth Achieng,Uganda,"40,141,000"
387,789748037,Stub,Justine Ayebazibwe,Uganda,"40,141,000"
388,789748269,Start,Jessica Eriyo,Uganda,"40,141,000"
389,789748670,C,Mary Karooro Okurut,Uganda,"40,141,000"
390,789748752,Stub,Adrian Tibaleka,Uganda,"40,141,000"
391,789748782,Start,Nusura Tiperu,Uganda,"40,141,000"
392,789748978,Start,Florence Nakiwala Kiyingi,Uganda,"40,141,000"
393,789799593,Start,Ruth Nankabirwa,Uganda,"40,141,000"
394,789799605,Start,Justine Lumumba Kasule,Uganda,"40,141,000"
395,789799744,C,Idah Nantaba,Uganda,"40,141,000"
396,789799847,Start,Harriet Ntabazi,Uganda,"40,141,000"
397,789799901,Start,Florence Nebanda,Uganda,"40,141,000"
398,789799952,Start,Lukia Isanga Nakadama,Uganda,"40,141,000"
399,789799984,Start,Mariam Nalubega,Uganda,"40,141,000"
400,789800111,C,Jenipher Namuyangu,Uganda,"40,141,000"
401,789800331,C,Sarah Kataike,Uganda,"40,141,000"
402,789800629,Start,Caroline Amali Okao,Uganda,"40,141,000"
403,789803765,Stub,Beatrice Rwakimari,Uganda,"40,141,000"
